2001,@ajoyvaldez2856,13 hours ago,Mapagpalang araw Ng linggo mga kapatid ❤❤ pagbati Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzoWSE4D-YD8eZoEW14AaABAg,UgzoWSE4D-YD8eZoEW14AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2021,@GrazelleAnneMagno,15 hours ago,Good morning po mga kapatid  / #Benguet #Sayatan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxNdBBviPsbVeMBeq14AaABAg,UgxNdBBviPsbVeMBeq14AaABAg,UCunYGlUE4hQyPFaxtdKYIbw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2022,@GrazelleAnneMagno,15 hours ago,Go guys go Benguet  / Always support ang taga Lokal ng Sayatan 🤩,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzhFCYUAU67Bgga-xx4AaABAg,UgzhFCYUAU67Bgga-xx4AaABAg,UCunYGlUE4hQyPFaxtdKYIbw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2023,@Glysaanongos,15 hours ago,Happy viewing lokal ng sayatan distrito ng benguet ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxFs0MVWaGOVx2kIa54AaABAg,UgxFs0MVWaGOVx2kIa54AaABAg,UC-UY6PxCwbcv5GCmWET07sA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2024,@luningningpescoso4921,15 hours ago,Halinang manood Ng God's Love masaya at may aral mula po sa Lokal Ng Lourdes Distrito Ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxKoXIshkXnqP5zwWF4AaABAg,UgxKoXIshkXnqP5zwWF4AaABAg,UCNEFZJBC-8ZcT-q6hyiB7Dg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2025,@luningningpescoso4921,15 hours ago,Hello po magandang umaga po mga kapatid sa buong mundo mula po sa Lokal Ng Lourdes Distrito Ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJCmlh99JC38Ja3Ad4AaABAg,UgwJCmlh99JC38Ja3Ad4AaABAg,UCNEFZJBC-8ZcT-q6hyiB7Dg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2026,@luningningpescoso4921,15 hours ago,Magandang umaga po tayo Ng manood mula po sa Lokal Ng Lourdes Distrito Ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwaBP-OFmIzvLZsOrx4AaABAg,UgwaBP-OFmIzvLZsOrx4AaABAg,UCNEFZJBC-8ZcT-q6hyiB7Dg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2027,@luningningpescoso4921,15 hours ago,"Good morning to all brethren,mula po sa Lokal Ng Lourdes Distrito Ng Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyBHQTPM8qbxX0IC8h4AaABAg,UgyBHQTPM8qbxX0IC8h4AaABAg,UCNEFZJBC-8ZcT-q6hyiB7Dg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2028,@bernadetteligew9074,15 hours ago,Perfect soundtrack  / Kia's,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwvdq9NL_S7RX0uHbx4AaABAg,Ugwvdq9NL_S7RX0uHbx4AaABAg,UC6vn09nux_X-v6--dq0mSGQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2029,@bernadetteligew9074,15 hours ago,Good morning  / #Kias,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgybmXHVwgfi4Jj3xTx4AaABAg,UgybmXHVwgfi4Jj3xTx4AaABAg,UC6vn09nux_X-v6--dq0mSGQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2030,@jessellupo5696,16 hours ago,"""Spreading kindness and love the way God teaches us"" /  / Happy Viewing Po From Lokal Ng BALATOC❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw2DMTJIHuca3ADsFl4AaABAg,Ugw2DMTJIHuca3ADsFl4AaABAg,UC-lzr3NnGMvLN1EiEvCt0TQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2031,@jeanietugad4595,16 hours ago,"Greetings to all, tuloy tuloy lang po tayong manood,, Atok Gold,, Kalhiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx0TAVyU9G9U0lKLFt4AaABAg,Ugx0TAVyU9G9U0lKLFt4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2032,@jeanietugad4595,17 hours ago,"Happy watching po mga kapatid, lets enjoy,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzGh7dbQjGsXPjdNOR4AaABAg,UgzGh7dbQjGsXPjdNOR4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2033,@jeanietugad4595,17 hours ago,"Good morning,, Benguet,,, fly to the Top,, happy viewing to all,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx0fWfFbLFwE5PPNIB4AaABAg,Ugx0fWfFbLFwE5PPNIB4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2034,@aimoth8799,18 hours ago,"Beng beng beng Benguet!!!!! / Beng beng beng Benguet!!!!! / Go go go , to the TOP make it / .Local of Baguio City.🇮🇹",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzcAsYCy2WYvCVqrEh4AaABAg,UgzcAsYCy2WYvCVqrEh4AaABAg,UCdpyBtbTRbuwZiRRLRsiOyQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2035,@aimoth8799,18 hours ago,WELCOME to GOD’S LOVE Cebu City and Aklan❤❤❤ / From Local of Baguio City ooh ooh,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw2ZDr3sbwkQvzgLVd4AaABAg,Ugw2ZDr3sbwkQvzgLVd4AaABAg,UCdpyBtbTRbuwZiRRLRsiOyQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2036,@aimoth8799,18 hours ago,🎉🎉🎉🎉Hello Cebu City and Aklan👋 / GOD'S LOVE from Local of  Baguio City / FIGHT FIGHT FIGHT District of Benguet❤😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw2mOUu3nae-Web7rR4AaABAg,Ugw2mOUu3nae-Web7rR4AaABAg,UCdpyBtbTRbuwZiRRLRsiOyQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2037,@Rhuvy-f3n,19 hours ago,"Happy viewing & full support from lokal ng Tuba,Benguet.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy673g-sF8xVErTxeB4AaABAg,Ugy673g-sF8xVErTxeB4AaABAg,UC7ENaSn829WD44x8C1ersyA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2038,@PHEBIE-f7h,19 hours ago,Secure the Top1 spot po / GO GO BENGUET! /  /  / ❤❤AtokGold❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxcUYSPyXEmY1nXNwx4AaABAg,UgxcUYSPyXEmY1nXNwx4AaABAg,UCNkJMMXP19AJSsNov8Fp3Ag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2039,@PHEBIE-f7h,19 hours ago,ROAD TO 51k views / Nood lng po ng nood mga kapatid. / ENJOY WATCHING PO /  /  / ❤❤AtokGold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxMIB6LvbrvDsdL_jd4AaABAg,UgxMIB6LvbrvDsdL_jd4AaABAg,UCNkJMMXP19AJSsNov8Fp3Ag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2040,@PHEBIE-f7h,19 hours ago,Re watching here to support our District. / Go Benguet! /  /  /  / ❤❤AtokGold Buklod❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzIWWJ1fMC7G-AOibt4AaABAg,UgzIWWJ1fMC7G-AOibt4AaABAg,UCNkJMMXP19AJSsNov8Fp3Ag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2041,@PHEBIE-f7h,19 hours ago,Happy viewing po mga kapatid. / ❤❤Lokal ng AtokGold❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw8SHYrQlmpbtuq0ld4AaABAg,Ugw8SHYrQlmpbtuq0ld4AaABAg,UCNkJMMXP19AJSsNov8Fp3Ag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2042,@PHEBIE-f7h,19 hours ago,"In our Lord God's great POWER, you must BELIEVE!! /  /  /  / BUKLOD OF ATOKGOLD",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwhj2TytBbErK3feL94AaABAg,Ugwhj2TytBbErK3feL94AaABAg,UCNkJMMXP19AJSsNov8Fp3Ag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2043,@arjanejesalva9246,20 hours ago,Goodevening po mga kapatid / From lokal ng Sablan ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzflXpFJCi3WCn3JgF4AaABAg,UgzflXpFJCi3WCn3JgF4AaABAg,UCZujTpMON7q_SeOkP7_8fYA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2044,@proudinc30,20 hours ago,Mula po sa Lokal ng Megaroyale Distrito po ng Bebguet masayang panunuod po sa lahat ng mga kapatid🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxwm_rkFRh3RbB7P6d4AaABAg,Ugxwm_rkFRh3RbB7P6d4AaABAg,UCCxuia5xRHTb3_q2LpAa8ZA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2045,@NancyMoyano-r7u,20 hours ago,"Wishing po everyone happiness, and prosperity... / Good night po mga kabagis 🙏  / Baguio City, Benguet ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwb06wPq4c7gvGQt_14AaABAg,Ugwb06wPq4c7gvGQt_14AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2046,@j-elfym,20 hours ago,"The world thinks your Lost, / But in His Love so Divine, / Our God Has  / Always your Back..” / ❤❤ / Lokal ng Atok Gold",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9L0vv2itWeHPUcd94AaABAg,Ugx9L0vv2itWeHPUcd94AaABAg,UCQSZMpTel4mf79JxQGEU3rg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2047,@j-elfym,20 hours ago,Amin po kayong binabati / Kami’y laging nakangiti / INCMV panoorin palagi / Ating Distrito ating ipagmalaki / Mula po sa Kapisanang pnk / Lokal ng Atok Gold❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx6wxtBZ_shEUxxtnN4AaABAg,Ugx6wxtBZ_shEUxxtnN4AaABAg,UCQSZMpTel4mf79JxQGEU3rg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2048,@j-elfym,20 hours ago,“You  / Go / On / With Courage” / 🏅lokal ng Atok Gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzc1dcyUX4tqHvxoql4AaABAg,Ugzc1dcyUX4tqHvxoql4AaABAg,UCQSZMpTel4mf79JxQGEU3rg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2049,@j-elfym,20 hours ago,magandang gabi po / masaya  / pong nakikiisa / patuloy / na nanonood / ❤lokal ng atok gold❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz5ciU6_a2R7218WXR4AaABAg,Ugz5ciU6_a2R7218WXR4AaABAg,UCQSZMpTel4mf79JxQGEU3rg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2050,@j-elfym,20 hours ago,❤God’s Love / It’s His / Precious Gift / To Us❤ / Lokal ng Atok Gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyZuc1u0ym8p6qcVh94AaABAg,UgyZuc1u0ym8p6qcVh94AaABAg,UCQSZMpTel4mf79JxQGEU3rg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2051,@iya-k7j,20 hours ago,😊It’s through His / L❤VE / That you are Now  / Who You Are😊 / Lokal ng Atok Gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxeVY50AheQVMepkRl4AaABAg,UgxeVY50AheQVMepkRl4AaABAg,UC_R2GfmFAjE8k8DgEjmtv7g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2052,@iya-k7j,20 hours ago,It’s through / His L❤VE / That your days / Are Bright as / The Sun☀ / Lokal ng Atok Gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzkKIJkXnXaAYAZFMt4AaABAg,UgzkKIJkXnXaAYAZFMt4AaABAg,UC_R2GfmFAjE8k8DgEjmtv7g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2053,@iya-k7j,20 hours ago,"Let God / set you Free / and you'll find out / exactly where / you're meant to be"" / ❤lokal ng atok gold❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzBWQvIUfpJIkxa0DB4AaABAg,UgzBWQvIUfpJIkxa0DB4AaABAg,UC_R2GfmFAjE8k8DgEjmtv7g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2054,@iya-k7j,20 hours ago,I / know / But I swear / It gets better…. / 😊lokal ng atok gold😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgygE2QvPnxsDu9K2FN4AaABAg,UgygE2QvPnxsDu9K2FN4AaABAg,UC_R2GfmFAjE8k8DgEjmtv7g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2055,@iya-k7j,20 hours ago,Hold on / to your / Faith❤ / 😇😇😇 / 🇮🇹🇮🇹🇮🇹 / lokal ng atok gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxY6mjjI5eIHZUtfSN4AaABAg,UgxY6mjjI5eIHZUtfSN4AaABAg,UC_R2GfmFAjE8k8DgEjmtv7g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2056,@gildoria9232,20 hours ago,pagbati po sa mga  / Pamunuan ng / Loakan Airport / Go Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz9DGAPpSn1tmewNXt4AaABAg,Ugz9DGAPpSn1tmewNXt4AaABAg,UCuT8SxI1FZMa7BrOul3anbQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2057,@GreySantino,20 hours ago,go Benguet 🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzmr7ZQ9jrAq1TyzCJ4AaABAg,Ugzmr7ZQ9jrAq1TyzCJ4AaABAg,UCgmH8Vmu8sdTmagiLke9JGA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2058,@GreySantino,20 hours ago,happy viewing po dito sa lokal ng baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxx1MEd5C9BBk2lnKx4AaABAg,Ugxx1MEd5C9BBk2lnKx4AaABAg,UCgmH8Vmu8sdTmagiLke9JGA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2059,@jeevaniclaro4452,21 hours ago,Lourdes Benguet ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwWiqquWuocgixDgvp4AaABAg,UgwWiqquWuocgixDgvp4AaABAg,UCZE8oKCyRqbh8kqAnj82frg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2060,@kazhjhieclaro6189,21 hours ago,"Lourdes, benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwKCpzzqCG4EEug9iB4AaABAg,UgwKCpzzqCG4EEug9iB4AaABAg,UCaK0CgM2y0yX5poviumbaxg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2061,@NancyMoyano-r7u,21 hours ago,Good luck 🤞 Benguet 🙏🙏🙏  / Lokal ng Baguio City 💖,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwU1qPZp_YtmtuHlxR4AaABAg,UgwU1qPZp_YtmtuHlxR4AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2062,@giloribello,21 hours ago,Pag-ibig ng Panginoon ang magliligtas po sa atin.  /  / Kaisa ng Namamahala kaming taga-Baguio City lokal  /  / ❤❤❤❤❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxjOI85jmzXrB7ROlx4AaABAg,UgxjOI85jmzXrB7ROlx4AaABAg,UCDoxrvwIaC8g19_zJaWhluQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2063,@Lxzaaaaa,21 hours ago,"Let's go, Benguet! the local of Atok Gold gives their unwavering support!💖🙌",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgypXLTzCC7CT_q0Eep4AaABAg,UgypXLTzCC7CT_q0Eep4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2064,@geneprado-ro1lf,21 hours ago,Fight😍,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwg3yAKIjKNsJnWumt4AaABAg,Ugwg3yAKIjKNsJnWumt4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2065,@NancyMoyano-r7u,21 hours ago,"God's Love 💖  / Baguio City, Benguet ❤❤❤ / # on the road to 51k 🙏🙏🙏",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzb23uEgrLRK7QD4CB4AaABAg,Ugzb23uEgrLRK7QD4CB4AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2066,@geneprado-ro1lf,21 hours ago,Happy tupad tomorrow po!!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxD-6HwpbRKVz6foaR4AaABAg,UgxD-6HwpbRKVz6foaR4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2067,@geneprado-ro1lf,21 hours ago,Fight fight fight!!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzudonaTwonYtYK83d4AaABAg,UgzudonaTwonYtYK83d4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2068,@geneprado-ro1lf,21 hours ago,Fight Baguio City!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwA1gvkdib9p1WL7ep4AaABAg,UgwA1gvkdib9p1WL7ep4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2069,@geneprado-ro1lf,21 hours ago,Go Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyib6Hg3H1W4Thc5fR4AaABAg,Ugyib6Hg3H1W4Thc5fR4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2070,@geneprado-ro1lf,21 hours ago,More viewing for tomorrow mga kapatid sa Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwRCFP-E9eJH7lqVlZ4AaABAg,UgwRCFP-E9eJH7lqVlZ4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2071,@geneprado-ro1lf,21 hours ago,Late viewing po Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPkMN4h7Hvgci_DhN4AaABAg,UgxPkMN4h7Hvgci_DhN4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
