Global Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
11	Luzon	Quezon City	Hindi Natin Kailanman Iisipin	23436	2026-05-04T02:23:57-07:00	Hindi Natin Kailanman Iisipin | Quezon City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4hJvjpVrAAM	Fetched 06/04/2026, 11:39:03 PM GMT+8
12	Luzon	Pampanga West	I Have You	23192	2026-04-30T21:00:08-07:00	I Have You | Pampanga West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=5uWtu3e7fbw	Fetched 06/04/2026, 11:39:03 PM GMT+8
13	Luzon	Lingayen, Pangasinan	Anuman Po Ang Mangyari	19250	2026-04-30T21:00:11-07:00	Anuman Po Ang Mangyari | Lingayen, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=A8hClgV1V78	Fetched 06/04/2026, 11:39:03 PM GMT+8
14	Luzon	Batangas North	Di Magsasawang Pasalamatan Ka, Ama	17581	2026-04-30T21:00:51-07:00	Di Magsasawang Pasalamatan Ka, Ama | Batangas North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=jRQ76pIg7cw	Fetched 06/04/2026, 11:39:03 PM GMT+8
15	Luzon	La Union	Everything is Possible with Father	14460	2026-04-30T21:00:47-07:00	Everything is Possible with Father | La Union | INCMV AWARDS 2026	https://www.youtube.com/watch?v=be84unNvvV0	Fetched 06/04/2026, 11:39:03 PM GMT+8
16	Luzon	Tarlac City, Tarlac	Sa Muling Pagkikita	13668	2026-04-30T21:00:50-07:00	Sa Muling Pagkikita | Tarlac City, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=frNvB2_tlNo	Fetched 06/04/2026, 11:39:03 PM GMT+8
17	Luzon	Bulacan	Come With Me	13378	2026-04-30T21:01:12-07:00	Come With Me | Bulacan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=x67CgQGVT3Y	Fetched 06/04/2026, 11:39:03 PM GMT+8
18	Abroad	Northern Europe	Everything Is Possible	12953	2026-05-01	Everything Is Possible | Northern Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=z9mFEB5t2k8	Fetched 06/04/2026, 11:39:03 PM GMT+8
19	Mindanao	Zamboanga City	Laan Sa Akin	12556	2026-05-01	Laan Sa Akin | Zamboanga City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=b6HCZOez12w	Fetched 06/04/2026, 11:39:03 PM GMT+8
20	Luzon	Rodriguez	Ipanalangin Mo	12431	2026-04-30T21:00:17-07:00	Ipanalangin Mo | Rodriguez | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GkHCx116xcc	Fetched 06/04/2026, 11:39:03 PM GMT+8
21	Luzon	Cavite	Yakap	12388	2026-05-01T18:17:55-07:00	Yakap | Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Huka7hJAsh8	Fetched 06/04/2026, 11:39:03 PM GMT+8
22	Luzon	San Jose, Mindoro Occidental	Anuman Po Ang Mangyari	11929	2026-04-30T21:00:27-07:00	Anuman Po Ang Mangyari | San Jose, Mindoro Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=CpXXv3fs0hI	Fetched 06/04/2026, 11:39:03 PM GMT+8
23	Luzon	Albay	Ama, Kami Ay Sa Iyo Pa Rin	11331	2026-04-30T21:01:06-07:00	Ama, Kami Ay Sa Iyo Pa Rin | Albay | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wAwGtb7R5fs	Fetched 06/04/2026, 11:39:03 PM GMT+8
24	Luzon	Paniqui, Tarlac	Yakap	10588	2026-04-30T21:00:16-07:00	Yakap | Paniqui, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6OJyTteX-7g	Fetched 06/04/2026, 11:39:03 PM GMT+8
25	Mindanao	Zamboanga Sibugay	Ama, Kami Ay Sa Iyo Pa Rin	10311	2026-05-01	Ama, Kami Ay Sa Iyo Pa Rin | Zamboanga Sibugay | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6efoFLYt5yU	Fetched 06/04/2026, 11:39:03 PM GMT+8
26	Luzon	Palawan	Sabi Ni Lola	10008	2026-04-30T21:01:04-07:00	Sabi Ni Lola | Palawan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=rUuEcU77ka4	Fetched 06/04/2026, 11:39:03 PM GMT+8
27	Abroad	Silicon Valley, California	We Are Warriors	8800	1 month ago	We Are Warriors | Silicon Valley, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nk-1NrqjNwo	Fetched 06/04/2026, 11:39:03 PM GMT+8
28	Luzon	Zambales South	Ilagak Ang Pag-asa Sa Biyayang Darating	8599	2026-04-30T21:01:12-07:00	Ilagak Ang Pag-asa Sa Biyayang Darating | Zambales South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=webWHRcDiuI	Fetched 06/04/2026, 11:39:03 PM GMT+8
29	Luzon	CAMANAVA	Pag-asa Natin Ay Magaganap	8387	2026-04-30T21:00:28-07:00	Pag-asa Natin Ay Magaganap | CAMANAVA | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RAqVHEbPSKs	Fetched 06/04/2026, 11:39:03 PM GMT+8
30	Luzon	Iriga City, Camarines Sur	Anuman Po Ang Mangyari	8237	2026-05-04T02:38:23-07:00	Anuman Po Ang Mangyari | Iriga City, Camarines Sur | INCMV AWARD 2026	https://www.youtube.com/watch?v=MrD0pX-mTe8	Fetched 06/04/2026, 11:39:03 PM GMT+8
31	Luzon	Capas, Tarlac	Maglilingkod Pa Rin Ako Sa Diyos	8152	2026-05-03T18:48:38-07:00	Maglilingkod Pa Rin Ako Sa Diyos | Capas, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=k4QEw2OAenQ	Fetched 06/04/2026, 11:39:03 PM GMT+8
32	Abroad	Edmonton	We’re INC For Life	8075	2026-05-01	We’re INC For Life | Edmonton | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-gMNB9e4rxQ	Fetched 06/04/2026, 11:39:03 PM GMT+8
33	Luzon	Marikina	Ito Ay Pagsubok Sa Pananampalataya	8062	2026-04-30T21:00:42-07:00	Ito Ay Pagsubok Sa Pananampalataya | Marikina | INCMV AWARDS 2026	https://www.youtube.com/watch?v=YVeH4h6jWJk	Fetched 06/04/2026, 11:39:03 PM GMT+8
34	Visayas	Bohol	Kalmadong Magpatuloy	7759	2026-05-01	Kalmadong Magpatuloy | Bohol | INCMV AWARDS 2026	https://www.youtube.com/watch?v=f_bb1leQUlE	Fetched 06/04/2026, 11:39:03 PM GMT+8
35	Luzon	Pampanga East	Galing Sa Iyo	7711	2026-04-30T21:00:34-07:00	Galing Sa Iyo | Pampanga East | INCMV AWARDS2026	https://www.youtube.com/watch?v=O0tKKUbwi_s	Fetched 06/04/2026, 11:39:03 PM GMT+8
36	Abroad	Britain South	One True God, One Faith	6800	1 month ago	One True God, One Faith | Britain South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=UQ8Srh0SDRI	Fetched 06/04/2026, 11:39:03 PM GMT+8
37	Luzon	Sta. Rosa Nueva Ecija	Focus	6683	2026-04-30T21:00:31-07:00	Focus | Sta. Rosa Nueva Ecija | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Ijf01YJHytE	Fetched 06/04/2026, 11:39:03 PM GMT+8
38	Mindanao	Lanao	Anuman Po Ang Mangyari	6199	2026-05-01	Anuman Po Ang Mangyari | Lanao | INCMV AWARDS 2026	https://www.youtube.com/watch?v=FYLkNK1OqMQ	Fetched 06/04/2026, 11:39:03 PM GMT+8
39	Luzon	Bataan	Ang Ama Ang Magbibigay Ng Kalakasan	6185	2026-04-30T21:00:33-07:00	Ang Ama Ang Magbibigay Ng Kalakasan | Bataan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=LiA9aesVeZg	Fetched 06/04/2026, 11:39:03 PM GMT+8
40	Abroad	Northeast California	Each Day	6138	2026-05-01	Each Day | Northeast California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=d4RSUvZq0CA	Fetched 06/04/2026, 11:39:03 PM GMT+8
41	Visayas	Tacloban City, Leyte	Sabi Ni Lola	6073	2026-05-01	Sabi Ni Lola | Tacloban City, Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=kYhrHytdid4	Fetched 06/04/2026, 11:39:03 PM GMT+8
42	Luzon	Bulacan South	Ilapit Mo	6038	2026-05-02	Ilapit Mo | Bulacan South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=yqLWhxE8Jkw	Fetched 06/04/2026, 11:39:03 PM GMT+8
43	Abroad	Victoria, Australia	More Than We Asked For	5792	2026-05-01	More Than We Asked For | Victoria, Australia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=oWKjNjnv4pk	Fetched 06/04/2026, 11:39:03 PM GMT+8
44	Luzon	Caloocan North	Your Friend	5487	2026-04-30T21:00:46-07:00	Your Friend | Caloocan North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hRvfCettUA0	Fetched 06/04/2026, 11:39:03 PM GMT+8
45	Luzon	Marinduque	Kalmadong Magpatuloy	5437	2026-04-30T21:01:08-07:00	Kalmadong Magpatuloy | Marinduque | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wmVoL1dJiAs	Fetched 06/04/2026, 11:39:03 PM GMT+8
46	Abroad	Florida and Caribbean	Taorenai le (A House That Stands)	5337	2026-05-01	Taorenai le (A House That Stands) | Florida and Caribbean | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GalvMTwQqf4	Fetched 06/04/2026, 11:39:03 PM GMT+8
47	Luzon	Quezon West	Tutupad Pa Rin	5305	2026-04-30T21:01:10-07:00	Tutupad Pa Rin | Quezon West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vQWa7x9TvAQ	Fetched 06/04/2026, 11:39:03 PM GMT+8
48	Luzon	Makati	Anuman Po Ang Mangyari	5286	2026-04-30T21:00:28-07:00	Anuman Po Ang Mangyari | Makati | INCMV AWARDS 2026	https://www.youtube.com/watch?v=UpOZyisuXJw	Fetched 06/04/2026, 11:39:03 PM GMT+8
49	Luzon	Calamian	I Have You	5258	2026-04-30T21:00:28-07:00	I Have You | Calamian | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RjtAqkq0xrM	Fetched 06/04/2026, 11:39:03 PM GMT+8
50	Abroad	South Central States	No Matter What	4955	2026-05-01	No Matter What | South Central States | INCMV AWARDS 2026	https://www.youtube.com/watch?v=9EXxQC4XjNw	Fetched 06/04/2026, 11:39:03 PM GMT+8
51	Mindanao	Zamboanga del Norte	Maglilingkod Pa Rin Ako Sa Diyos	4800	1 month ago	Maglilingkod Pa Rin Ako Sa Diyos | Zamboanga del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hFLIlZXdjW4	Fetched 06/04/2026, 11:39:03 PM GMT+8
52	Luzon	San Jose City, Nueva Ecija	Anuman Po Ang Mangyari	4724	2026-04-30T21:00:14-07:00	Anuman Po Ang Mangyari | San Jose City, Nueva Ecija | INCMV AWARDS 2026	https://www.youtube.com/watch?v=EXtz9KlbOdE	Fetched 06/04/2026, 11:39:03 PM GMT+8
53	Abroad	Bay Area California	Deal With This	4600	1 month ago	Deal With This | Bay Area California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4xFLBNsNWh4	Fetched 06/04/2026, 11:39:03 PM GMT+8
54	Luzon	San Pablo City, Laguna	Kalmadong Magpatuloy	4557	2026-04-30T21:00:46-07:00	Kalmadong Magpatuloy | San Pablo City, Laguna | INCMV AWARDS 2026	https://www.youtube.com/watch?v=_a9mHDs4xpg	Fetched 06/04/2026, 11:39:03 PM GMT+8
55	Abroad	Malaysia	In His Hands	4543	2026-05-04	In His Hands | Malaysia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Kr76Q-eZHj4	Fetched 06/04/2026, 11:39:03 PM GMT+8
56	Visayas	Carcar City, Cebu	45	4533	2026-04-30T21:00:05-07:00	45 | Carcar City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4qBLETJR2IE	Fetched 06/04/2026, 11:39:03 PM GMT+8
57	Abroad	Los Angeles County, California	Redeemed	4354	2026-05-01	Redeemed | Los Angeles County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hm0uaFLQKUk	Fetched 06/04/2026, 11:39:03 PM GMT+8
58	Luzon	Rizal	Dapat Kumpletuhin	4156	2026-04-30T21:00:00-07:00	Dapat Kumpletuhin | Rizal | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-uQkDpwOaFo	Fetched 06/04/2026, 11:39:03 PM GMT+8
59	Luzon	Candon City, Ilocos Sur	Kaya Natin 'To	4017	2026-04-30T21:00:27-07:00	Kaya Natin 'To | Candon City, Ilocos Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GjB5zml-Gyo	Fetched 06/04/2026, 11:39:03 PM GMT+8
60	Mindanao	Agusan del Norte	Lahat, Posible Sa Ama	4000	1 month ago	Lahat, Posible Sa Ama | Agusan del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=FXsLpyV5Lvo	Fetched 06/04/2026, 11:39:03 PM GMT+8
61	Mindanao	Agusan del Sur	Ako'y Ihatid Sa Bayang Banal	3900	1 month ago	Ako'y Ihatid Sa Bayang Banal | Agusan del Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=sZbkj8hwae0	Fetched 06/04/2026, 11:39:03 PM GMT+8
62	Visayas	Kabankalan City, Negros Occidental	Siya Lagi	3897	2026-05-01	Siya Lagi | Kabankalan City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=NqNSCeCGbuw	Fetched 06/04/2026, 11:39:03 PM GMT+8
63	Luzon	Cabanatuan City, Nueva Ecija	Anuman Po Ang Mangyari	3733	2026-05-07T19:08:37-07:00	Anuman Po Ang Mangyari | Cabanatuan City, Nueva Ecija | INCMVAWARDS 2026	https://www.youtube.com/watch?v=sfz8rirojvM	Fetched 06/04/2026, 11:39:03 PM GMT+8
64	Luzon	Catanduanes	Anuman Po Ang Mangyari	3606	2026-05-04T23:56:44-07:00	Anuman Po Ang Mangyari | Catanduanes | NCMV AAWARDS 2026	https://www.youtube.com/watch?v=pfRah5NlOx0	Fetched 06/04/2026, 11:39:03 PM GMT+8
65	Luzon	Romblon	Ang Ama Ang Magbibigay Ng Kalakasan	3584	2026-04-30T21:00:25-07:00	Ang Ama Ang Magbibigay Ng Kalakasan | Romblon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=OjhjezaKmDw	Fetched 06/04/2026, 11:39:03 PM GMT+8
66	Mindanao	Cagayan De Oro City, Misamis Oriental	Dili Angay Mabalaka (No Need To Worry)	3545	2026-05-01	Dili Angay Mabalaka (No Need To Worry) | Cagayan De Oro City, Misamis Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=eWZPjfEH388	Fetched 06/04/2026, 11:39:03 PM GMT+8
67	Luzon	Batangas	Ikaw Ay Biyaya	3528	2026-04-30T21:00:32-07:00	Ikaw Ay Biyaya | Batangas | INCMV AWARDS 2026	https://www.youtube.com/watch?v=KAkCOg9tqFM	Fetched 06/04/2026, 11:39:03 PM GMT+8
68	Luzon	Metro Manila East	45	3480	2026-04-30T21:01:02-07:00	45 | Metro Manila East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=j6rgMyjyE30	Fetched 06/04/2026, 11:39:03 PM GMT+8
69	Luzon	Cagayan East	Masaya	3432	2026-04-30T21:01:15-07:00	Masaya | Cagayan East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=yxmZVF5t4d4	Fetched 06/04/2026, 11:39:03 PM GMT+8
70	Abroad	Italy South	Siya Lagi	3374	2026-05-02	Siya Lagi | Italy South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=KhDP4H3HcbU	Fetched 06/04/2026, 11:39:03 PM GMT+8
71	Luzon	Batac City, Ilocos Norte	Guide My Heart	3302	2026-04-30T21:00:08-07:00	Guide My Heart | Batac City, Ilocos Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=7CinAlmWFr4	Fetched 06/04/2026, 11:39:03 PM GMT+8
72	Luzon	San Carlos City, Pangasinan	Makiisa	3219	2026-04-30T21:01:03-07:00	Makiisa | San Carlos City, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nFtz4oB4_-c	Fetched 06/04/2026, 11:39:03 PM GMT+8
73	Visayas	Iloilo South	Panalangin	3154	2026-05-01	Panalangin | Iloilo South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HI-yMeRI3bg	Fetched 06/04/2026, 11:39:03 PM GMT+8
74	Visayas	Leyte	Habang-buhay Namin Kayong Mamahalin	3144	2026-05-05	Habang-buhay Namin Kayong Mamahalin | Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mogw64StkZA	Fetched 06/04/2026, 11:39:03 PM GMT+8
75	Visayas	Negros Oriental	Still Blessed By God	3139	2026-05-01	Still Blessed By God | Negros Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t_pcYcHx5Ng	Fetched 06/04/2026, 11:39:03 PM GMT+8
76	Mindanao	Pagadian City, Zamboanga Del Sur	Anuman Po Ang Mangyari	3099	2026-05-01	Anuman Po Ang Mangyari | Pagadian City, Zamboanga Del Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=0hku4LqPAJs	Fetched 06/04/2026, 11:39:03 PM GMT+8
77	Luzon	Quezon	Siya Lagi	3081	2026-04-30T21:00:19-07:00	Siya Lagi | Quezon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GKMQicMsf08	Fetched 06/04/2026, 11:39:03 PM GMT+8
78	Abroad	Italy North	Bumangon Ka	3037	2026-05-01	Bumangon Ka | Italy North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=98opnCAzt74	Fetched 06/04/2026, 11:39:03 PM GMT+8
79	Mindanao	Surigao Del Norte	Ama, Kami Ay Sa Iyo Pa Rin	2956	2026-05-01	Ama, Kami Ay Sa Iyo Pa Rin | Surigao Del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=2uZVcAvOCNo	Fetched 06/04/2026, 11:39:03 PM GMT+8
80	Abroad	Singapore	Miracles	2900	1 month ago	Miracles | Singapore | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vHqGFuETYF8	Fetched 06/04/2026, 11:39:03 PM GMT+8
81	Luzon	Quirino	Ikaw Ang Hiling	2834	2026-04-30T21:00:37-07:00	Ikaw Ang Hiling | Quirino | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V5G8p-X1Vlo	Fetched 06/04/2026, 11:39:03 PM GMT+8
82	Abroad	New Zealand North	Anuman Po Ang Mangyari	2819	2026-05-01	Anuman Po Ang Mangyari | New Zealand North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t-DyGa8bUZE	Fetched 06/04/2026, 11:39:03 PM GMT+8
83	Luzon	Mountain Province	I'll Never Turn Away	2803	2026-04-30T21:00:57-07:00	I'll Never Turn Away | Mountain Province | INCMV AWARDS 2026	https://www.youtube.com/watch?v=tm7xwFJFT3k	Fetched 06/04/2026, 11:39:03 PM GMT+8
84	Abroad	Orange County California	You Don't Have To Be Alone	2753	2026-05-01	You Don't Have To Be Alone | Orange County California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=orekVfRKcGs	Fetched 06/04/2026, 11:39:03 PM GMT+8
85	Luzon	Isabela East	Dinadalisay Lamang Ako	2681	2026-04-30T21:00:56-07:00	Dinadalisay Lamang Ako | Isabela East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=cIblIJVLZ5Q	Fetched 06/04/2026, 11:39:03 PM GMT+8
86	Luzon	Central	Masaya	2635	2026-04-30T21:00:02-07:00	Masaya | Central | INCMV AWARDS 2026	https://www.youtube.com/watch?v=22bsW59xpZ8	Fetched 06/04/2026, 11:39:03 PM GMT+8
87	Luzon	Kalinga	Sabi Ni Lola	2630	2026-04-30T21:00:24-07:00	Sabi Ni Lola | Kalinga | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Mpew98j0d3I	Fetched 06/04/2026, 11:39:03 PM GMT+8
88	Luzon	Pampanga North	Keeping On With Great Faith	2567	2026-04-30T21:00:13-07:00	Keeping On With Great Faith | Pampanga North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4JPw2KZytQc	Fetched 06/04/2026, 11:39:03 PM GMT+8
89	Luzon	Naga City, Camarines Sur	Bumangon Ka	2557	2026-04-30T21:01:08-07:00	Bumangon Ka | Naga City, Camarines Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=uxaPN8HvtIs	Fetched 06/04/2026, 11:39:03 PM GMT+8
90	Luzon	Bulacan East	Matutuhan Ko Ang Iyong Mga Aral	2448	2026-04-30T21:00:53-07:00	Matutuhan Ko Ang Iyong Mga Aral | Bulacan East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mwAIBnWx5pc	Fetched 06/04/2026, 11:39:03 PM GMT+8
91	Abroad	Hawaii Pacific	Victors Crown	2424	2026-05-02	Victors Crown | Hawaii Pacific | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RLx4NLFUfw8	Fetched 06/04/2026, 11:39:03 PM GMT+8
92	Abroad	Virginia & Carolinas	May I Always Be True	2417	2026-05-01	May I Always Be True | Virginia & Carolinas | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wPETTnVl2sE	Fetched 06/04/2026, 11:39:03 PM GMT+8
93	Mindanao	Tandag City, Surigao Del Sur	Brave	2396	2026-05-01	Brave | Tandag City, Surigao Del Sur | INCMV AWADS 2026	https://www.youtube.com/watch?v=7xsoRzhtGuA	Fetched 06/04/2026, 11:39:03 PM GMT+8
94	Abroad	Great Lakes	My Dearest Child	2363	2026-05-01	My Dearest Child | Great Lakes | INCMV AWARDS 2026	https://www.youtube.com/watch?v=O1n4cC0zz40	Fetched 06/04/2026, 11:39:03 PM GMT+8
95	Luzon	Rosales, Pangasinan	Lahat Ng Gawain Ay Ating Ipagtagumpay	2338	2026-04-30T21:01:13-07:00	Lahat Ng Gawain Ay Ating Ipagtagumpay | Rosales, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zkh4IpwCke8	Fetched 06/04/2026, 11:39:03 PM GMT+8
96	Luzon	Isabela West	Takbuhin	2226	2026-04-30T21:00:12-07:00	Takbuhin | Isabela West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=A3--4PzSA4k	Fetched 06/04/2026, 11:39:03 PM GMT+8
97	Abroad	Central Europe	May You Always Brightly Shine	2182	2026-05-01	May You Always Brightly Shine | Central Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=QHp75WY5ZBU	Fetched 06/04/2026, 11:39:03 PM GMT+8
98	Abroad	Western Europe	Panalangin	2182	2026-05-01	Panalangin | Western Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ZJJbPddaVwk	Fetched 06/04/2026, 11:39:03 PM GMT+8
99	Abroad	Thailand	Never Let Go	2111	2026-05-01	Never Let Go | Thailand | INCMV AWARDS 2026	https://www.youtube.com/watch?v=rkNkxVR3h4Q	Fetched 06/04/2026, 11:39:03 PM GMT+8
100	Abroad	Vietnam	God Will Provide Strength	2089	2026-05-01	God Will Provide Strength | Vietnam | INCMV AWARDS 2026	https://www.youtube.com/watch?v=F9UrAhQXEhM	Fetched 06/04/2026, 11:39:03 PM GMT+8
101	Abroad	South Korea	I Am Strong	2077	2026-05-01	I Am Strong | South Korea | INCMV AWARDS 2026	https://www.youtube.com/watch?v=AyMuUnxDq68	Fetched 06/04/2026, 11:39:03 PM GMT+8
102	Mindanao	Misamis Occidental	Maglilingkod Pa Rin Ako Sa Diyos	2000	2026-05-01	Maglilingkod Pa Rin Ako Sa Diyos | Misamis Occidental | INCMV AWARDS	https://www.youtube.com/watch?v=9hJaaNK5Vpg	Fetched 06/04/2026, 11:39:03 PM GMT+8
103	Abroad	Nagoya, Japan	People Of God Should Continue To Please Him	2000	1 month ago	People Of God Should Continue To Please Him | Nagoya, Japan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=lHTiWdPLZzA	Fetched 06/04/2026, 11:39:03 PM GMT+8
104	Abroad	Mediterranean	Sabi Ni Lola	1977	2026-05-01	Sabi Ni Lola | Mediterranean | INCMV AWARDS 2026	https://www.youtube.com/watch?v=eBHJ60ydPGs	Fetched 06/04/2026, 11:39:03 PM GMT+8
105	Abroad	Sabah	His Love Never Ends	1969	2026-05-01	His Love Never Ends | Sabah | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6srjll1q0yQ	Fetched 06/04/2026, 11:39:03 PM GMT+8
106	Luzon	Nueva Vizcaya	Masaya	1960	2026-04-30T21:00:17-07:00	Masaya | Nueva Vizcaya | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HrBFeo3m84w	Fetched 06/04/2026, 11:39:03 PM GMT+8
