Abroad Ranking
Rank	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
24	Thailand	Never Let Go	2000	2 weeks ago	Never Let Go | Thailand | INCMV AWARDS 2026	https://www.youtube.com/watch?v=rkNkxVR3h4Q	Fetched 05/22/2026, 12:18:38 AM GMT+8
25	Western Europe	Panalangin	2000	2 weeks ago	Panalangin | Western Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ZJJbPddaVwk	Fetched 05/22/2026, 12:18:38 AM GMT+8
26	Central Europe	May You Always Brightly Shine	1900	2 weeks ago	May You Always Brightly Shine | Central Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=QHp75WY5ZBU	Fetched 05/22/2026, 12:18:38 AM GMT+8
27	Sabah	His Love Never Ends	1900	2 weeks ago	His Love Never Ends | Sabah | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6srjll1q0yQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
28	South Korea	I Am Strong	1900	2 weeks ago	I Am Strong | South Korea | INCMV AWARDS 2026	https://www.youtube.com/watch?v=AyMuUnxDq68	Fetched 05/22/2026, 12:18:38 AM GMT+8
29	Vietnam	God Will Provide Strength	1900	2 weeks ago	God Will Provide Strength | Vietnam | INCMV AWARDS 2026	https://www.youtube.com/watch?v=F9UrAhQXEhM	Fetched 05/22/2026, 12:18:38 AM GMT+8
30	Hawaii Pacific	Victors Crown	1800	2 weeks ago	Victors Crown | Hawaii Pacific | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RLx4NLFUfw8	Fetched 05/22/2026, 12:18:38 AM GMT+8
31	Mediterranean	Sabi Ni Lola	1800	2 weeks ago	Sabi Ni Lola | Mediterranean | INCMV AWARDS 2026	https://www.youtube.com/watch?v=eBHJ60ydPGs	Fetched 05/22/2026, 12:18:38 AM GMT+8
32	British Columbia	Let's Not Worry	1700	2 weeks ago	Let's Not Worry | British Columbia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=m7NH9hfdC1o	Fetched 05/22/2026, 12:18:38 AM GMT+8
33	Washington DC	Thank You, Lord	1500	2 weeks ago	Thank You, Lord | Washington DC | INCMV AWARDS 2026	https://www.youtube.com/watch?v=J-S5vYsryAk	Fetched 05/22/2026, 12:18:38 AM GMT+8
34	Spain	Braver	1400	2 weeks ago	Braver | Spain | INCMV AWARDS 2026	https://www.youtube.com/watch?v=BeJ0EKpTfhg	Fetched 05/22/2026, 12:18:38 AM GMT+8
35	Oregon	Salamat, Ama	1300	2 weeks ago	Salamat, Ama | Oregon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=O-LX3lg4cqg	Fetched 05/22/2026, 12:18:38 AM GMT+8
36	Tokyo, Japan	Panalangin	1300	2 weeks ago	Panalangin | Tokyo, Japan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Jw-BakeP1y0	Fetched 05/22/2026, 12:18:38 AM GMT+8
37	Northern Plains	Miracles	1200	2 weeks ago	Miracles | Northern Plains | INCMV AWARDS 2026	https://www.youtube.com/watch?v=XiI3eAo6hIA	Fetched 05/22/2026, 12:18:38 AM GMT+8
38	Northern Africa	People Of God, Give Him Glory	1100	2 weeks ago	People Of God, Give Him Glory | Northern Africa | INCMV AWARDS 2026	https://www.youtube.com/watch?v=VBpydj2rE0w	Fetched 05/22/2026, 12:18:38 AM GMT+8
39	Manitoba	Masaya	1000	2 weeks ago	Masaya | Manitoba | INCMV AWARDS 2026	https://www.youtube.com/watch?v=FLTt0EN92W8	Fetched 05/22/2026, 12:18:38 AM GMT+8
40	Saskatchewan	Up	883	2 weeks ago	Up | Saskatchewan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=MLVvEaYoluQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
41	Calgary	Everything Is Possible	869	2 weeks ago	Everything Is Possible | Calgary | INCMV AWARDS 2026	https://www.youtube.com/watch?v=utN_6BJcn6k	Fetched 05/22/2026, 12:18:38 AM GMT+8
42	Greater Toronto	Battle Cry 2.0	857	2 weeks ago	Battle Cry 2.0 | Greater Toronto | INCMV AWARDS 2026	https://www.youtube.com/watch?v=bVFFX68oK7k	Fetched 05/22/2026, 12:18:38 AM GMT+8
43	Southern Ontario	A Prayer To God	739	2 weeks ago	A Prayer To God | Southern Ontario | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4NjHXWNNNmc	Fetched 05/22/2026, 12:18:38 AM GMT+8
44	Micronesia	Still Blessed By God	569	2 weeks ago	Still Blessed By God | Micronesia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=qTmJBPVIEpc	Fetched 05/22/2026, 12:18:38 AM GMT+8
