Philippine Nationwide Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
31	Luzon	Bataan	Ang Ama Ang Magbibigay Ng Kalakasan	5778	2026-05-01	Ang Ama Ang Magbibigay Ng Kalakasan | Bataan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=LiA9aesVeZg	Fetched 05/22/2026, 12:18:38 AM GMT+8
32	Visayas	Tacloban City, Leyte	Sabi Ni Lola	5700	2 weeks ago	Sabi Ni Lola | Tacloban City, Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=kYhrHytdid4	Fetched 05/22/2026, 12:18:38 AM GMT+8
33	Visayas	Bohol	Kalmadong Magpatuloy	5500	2 weeks ago	Kalmadong Magpatuloy | Bohol | INCMV AWARDS 2026	https://www.youtube.com/watch?v=f_bb1leQUlE	Fetched 05/22/2026, 12:18:38 AM GMT+8
34	Luzon	Marinduque	Kalmadong Magpatuloy	5383	2026-05-01	Kalmadong Magpatuloy | Marinduque | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wmVoL1dJiAs	Fetched 05/22/2026, 12:18:38 AM GMT+8
35	Luzon	Makati	Anuman Po Ang Mangyari	5076	2026-05-01	Anuman Po Ang Mangyari | Makati | INCMV AWARDS 2026	https://www.youtube.com/watch?v=UpOZyisuXJw	Fetched 05/22/2026, 12:18:38 AM GMT+8
36	Luzon	Quezon West	Tutupad Pa Rin	5029	2026-05-01	Tutupad Pa Rin | Quezon West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vQWa7x9TvAQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
37	Luzon	Calamian	I Have You	4991	2026-05-01	I Have You | Calamian | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RjtAqkq0xrM	Fetched 05/22/2026, 12:18:38 AM GMT+8
38	Luzon	Caloocan North	Your Friend	4933	2026-05-01	Your Friend | Caloocan North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hRvfCettUA0	Fetched 05/22/2026, 12:18:38 AM GMT+8
39	Luzon	San Jose City, Nueva Ecija	Anuman Po Ang Mangyari	4483	2026-05-01	Anuman Po Ang Mangyari | San Jose City, Nueva Ecija | INCMV AWARDS 2026	https://www.youtube.com/watch?v=EXtz9KlbOdE	Fetched 05/22/2026, 12:18:38 AM GMT+8
40	Mindanao	Zamboanga del Norte	Maglilingkod Pa Rin Ako Sa Diyos	4300	2 weeks ago	Maglilingkod Pa Rin Ako Sa Diyos | Zamboanga del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hFLIlZXdjW4	Fetched 05/22/2026, 12:18:38 AM GMT+8
41	Visayas	Carcar City, Cebu	45	4200	2 weeks ago	45 | Carcar City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4qBLETJR2IE	Fetched 05/22/2026, 12:18:38 AM GMT+8
42	Luzon	San Pablo City, Laguna	Kalmadong Magpatuloy	4160	2026-05-01	Kalmadong Magpatuloy | San Pablo City, Laguna | INCMV AWARDS 2026	https://www.youtube.com/watch?v=_a9mHDs4xpg	Fetched 05/22/2026, 12:18:38 AM GMT+8
43	Luzon	Rizal	Dapat Kumpletuhin	4086	2026-05-01	Dapat Kumpletuhin | Rizal | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-uQkDpwOaFo	Fetched 05/22/2026, 12:18:38 AM GMT+8
44	Luzon	Candon City, Ilocos Sur	Kaya Natin 'To	3719	2026-05-01	Kaya Natin 'To | Candon City, Ilocos Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GjB5zml-Gyo	Fetched 05/22/2026, 12:18:38 AM GMT+8
45	Mindanao	Agusan del Sur	Ako'y Ihatid Sa Bayang Banal	3700	2 weeks ago	Ako'y Ihatid Sa Bayang Banal | Agusan del Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=sZbkj8hwae0	Fetched 05/22/2026, 12:18:38 AM GMT+8
46	Visayas	Kabankalan City, Negros Occidental	Siya Lagi	3600	2 weeks ago	Siya Lagi | Kabankalan City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=NqNSCeCGbuw	Fetched 05/22/2026, 12:18:38 AM GMT+8
47	Luzon	Cabanatuan City, Nueva Ecija	Anuman Po Ang Mangyari	3540	2026-05-08	Anuman Po Ang Mangyari | Cabanatuan City, Nueva Ecija | INCMVAWARDS 2026	https://www.youtube.com/watch?v=sfz8rirojvM	Fetched 05/22/2026, 12:18:38 AM GMT+8
48	Luzon	Batangas	Ikaw Ay Biyaya	3416	2026-05-01	Ikaw Ay Biyaya | Batangas | INCMV AWARDS 2026	https://www.youtube.com/watch?v=KAkCOg9tqFM	Fetched 05/22/2026, 12:18:38 AM GMT+8
49	Mindanao	Cagayan De Oro City, Misamis Oriental	Dili Angay Mabalaka (No Need To Worry)	3400	2 weeks ago	Dili Angay Mabalaka (No Need To Worry) | Cagayan De Oro City, Misamis Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=eWZPjfEH388	Fetched 05/22/2026, 12:18:38 AM GMT+8
50	Luzon	Metro Manila East	45	3391	2026-05-01	45 | Metro Manila East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=j6rgMyjyE30	Fetched 05/22/2026, 12:18:38 AM GMT+8
51	Luzon	Romblon	Ang Ama Ang Magbibigay Ng Kalakasan	3373	2026-05-01	Ang Ama Ang Magbibigay Ng Kalakasan | Romblon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=OjhjezaKmDw	Fetched 05/22/2026, 12:18:38 AM GMT+8
52	Luzon	Cagayan East	Masaya	3337	2026-05-01	Masaya | Cagayan East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=yxmZVF5t4d4	Fetched 05/22/2026, 12:18:38 AM GMT+8
53	Luzon	Catanduanes	Anuman Po Ang Mangyari	3319	2026-05-05	Anuman Po Ang Mangyari | Catanduanes | NCMV AAWARDS 2026	https://www.youtube.com/watch?v=pfRah5NlOx0	Fetched 05/22/2026, 12:18:38 AM GMT+8
54	Luzon	Batac City, Ilocos Norte	Guide My Heart	3180	2026-05-01	Guide My Heart | Batac City, Ilocos Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=7CinAlmWFr4	Fetched 05/22/2026, 12:18:38 AM GMT+8
55	Luzon	San Carlos City, Pangasinan	Makiisa	3094	2026-05-01	Makiisa | San Carlos City, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nFtz4oB4_-c	Fetched 05/22/2026, 12:18:38 AM GMT+8
56	Luzon	Quezon	Siya Lagi	3001	2026-05-01	Siya Lagi | Quezon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GKMQicMsf08	Fetched 05/22/2026, 12:18:38 AM GMT+8
57	Visayas	Negros Oriental	Still Blessed By God	3000	2 weeks ago	Still Blessed By God | Negros Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t_pcYcHx5Ng	Fetched 05/22/2026, 12:18:38 AM GMT+8
58	Visayas	Iloilo South	Panalangin	2900	2 weeks ago	Panalangin | Iloilo South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HI-yMeRI3bg	Fetched 05/22/2026, 12:18:38 AM GMT+8
59	Visayas	Leyte	Habang-buhay Namin Kayong Mamahalin	2900	2 weeks ago	Habang-buhay Namin Kayong Mamahalin | Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mogw64StkZA	Fetched 05/22/2026, 12:18:38 AM GMT+8
60	Mindanao	Pagadian City, Zamboanga Del Sur	Anuman Po Ang Mangyari	2900	2 weeks ago	Anuman Po Ang Mangyari | Pagadian City, Zamboanga Del Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=0hku4LqPAJs	Fetched 05/22/2026, 12:18:38 AM GMT+8
61	Mindanao	Agusan del Norte	Lahat, Posible Sa Ama	2700	2 weeks ago	Lahat, Posible Sa Ama | Agusan del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=FXsLpyV5Lvo	Fetched 05/22/2026, 12:18:38 AM GMT+8
62	Mindanao	Surigao Del Norte	Ama, Kami Ay Sa Iyo Pa Rin	2700	2 weeks ago	Ama, Kami Ay Sa Iyo Pa Rin | Surigao Del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=2uZVcAvOCNo	Fetched 05/22/2026, 12:18:38 AM GMT+8
63	Luzon	Quirino	Ikaw Ang Hiling	2670	2026-05-01	Ikaw Ang Hiling | Quirino | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V5G8p-X1Vlo	Fetched 05/22/2026, 12:18:38 AM GMT+8
64	Luzon	Kalinga	Sabi Ni Lola	2559	2026-05-01	Sabi Ni Lola | Kalinga | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Mpew98j0d3I	Fetched 05/22/2026, 12:18:38 AM GMT+8
65	Luzon	Isabela East	Dinadalisay Lamang Ako	2554	2026-05-01	Dinadalisay Lamang Ako | Isabela East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=cIblIJVLZ5Q	Fetched 05/22/2026, 12:18:38 AM GMT+8
66	Luzon	Central	Masaya	2545	2026-05-01	Masaya | Central | INCMV AWARDS 2026	https://www.youtube.com/watch?v=22bsW59xpZ8	Fetched 05/22/2026, 12:18:38 AM GMT+8
67	Luzon	Pampanga North	Keeping On With Great Faith	2517	2026-05-01	Keeping On With Great Faith | Pampanga North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4JPw2KZytQc	Fetched 05/22/2026, 12:18:38 AM GMT+8
68	Luzon	Mountain Province	I'll Never Turn Away	2467	2026-05-01	I'll Never Turn Away | Mountain Province | INCMV AWARDS 2026	https://www.youtube.com/watch?v=tm7xwFJFT3k	Fetched 05/22/2026, 12:18:38 AM GMT+8
69	Luzon	Naga City, Camarines Sur	Bumangon Ka	2450	2026-05-01	Bumangon Ka | Naga City, Camarines Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=uxaPN8HvtIs	Fetched 05/22/2026, 12:18:38 AM GMT+8
70	Luzon	Bulacan East	Matutuhan Ko Ang Iyong Mga Aral	2344	2026-05-01	Matutuhan Ko Ang Iyong Mga Aral | Bulacan East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mwAIBnWx5pc	Fetched 05/22/2026, 12:18:38 AM GMT+8
71	Luzon	Rosales, Pangasinan	Lahat Ng Gawain Ay Ating Ipagtagumpay	2304	2026-05-01	Lahat Ng Gawain Ay Ating Ipagtagumpay | Rosales, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zkh4IpwCke8	Fetched 05/22/2026, 12:18:38 AM GMT+8
72	Mindanao	Tandag City, Surigao Del Sur	Brave	2200	2 weeks ago	Brave | Tandag City, Surigao Del Sur | INCMV AWADS 2026	https://www.youtube.com/watch?v=7xsoRzhtGuA	Fetched 05/22/2026, 12:18:38 AM GMT+8
73	Luzon	Isabela West	Takbuhin	2069	2026-05-01	Takbuhin | Isabela West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=A3--4PzSA4k	Fetched 05/22/2026, 12:18:38 AM GMT+8
74	Mindanao	Misamis Occidental	Maglilingkod Pa Rin Ako Sa Diyos	1900	2 weeks ago	Maglilingkod Pa Rin Ako Sa Diyos | Misamis Occidental | INCMV AWARDS	https://www.youtube.com/watch?v=9hJaaNK5Vpg	Fetched 05/22/2026, 12:18:38 AM GMT+8
75	Luzon	Nueva Vizcaya	Masaya	1782	2026-05-01	Masaya | Nueva Vizcaya | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HrBFeo3m84w	Fetched 05/22/2026, 12:18:38 AM GMT+8
76	Luzon	Laoag City	Guide My Heart	1719	2026-05-01	Guide My Heart | Laoag City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=5aYDiq8GK-Y	Fetched 05/22/2026, 12:18:38 AM GMT+8
77	Luzon	Bataan South	Sabi Ni Lola	1683	2026-05-01	Sabi Ni Lola | Bataan South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=0jr41plvwA4	Fetched 05/22/2026, 12:18:38 AM GMT+8
78	Luzon	Metro Manila South	Everything is Possible	1674	2026-05-01	Everything is Possible | Metro Manila South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=R-nF-iSn_Gc	Fetched 05/22/2026, 12:18:38 AM GMT+8
79	Luzon	Sta. Rosa City, Laguna	Dinadalisay Lamang Ako	1667	2026-05-01	Dinadalisay Lamang Ako | Sta. Rosa City, Laguna | INCMV AWARDS 2026	https://www.youtube.com/watch?v=92eLf4n5ojQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
80	Luzon	Bulacan North	Patuloy Natin Siyang Dadalanginan	1643	2026-05-01	Patuloy Natin Siyang Dadalanginan | Bulacan North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=xCk3kDrWVEY	Fetched 05/22/2026, 12:18:38 AM GMT+8
81	Luzon	Sta. Cruz, Laguna	Ang Tungkuling Itiniwala, Puspusan Naming Magawa	1640	2026-05-01	Ang Tungkuling Itiniwala, Puspusan Naming Magawa | Sta. Cruz, Laguna | INCMV AWARDS 2026	https://www.youtube.com/watch?v=B_F9-H5j1YY	Fetched 05/22/2026, 12:18:38 AM GMT+8
82	Luzon	Urdaneta City, Pangasinan	Masaya	1620	2026-05-01	Masaya | Urdaneta City, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=jJZw8I-pUd8	Fetched 05/22/2026, 12:18:38 AM GMT+8
83	Luzon	Cagayan South	Ikaw Ang Biyaya	1534	2026-05-01	Ikaw Ang Biyaya | Cagayan South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=7HNKw6wr4xY	Fetched 05/22/2026, 12:18:38 AM GMT+8
84	Mindanao	Cotabato North	Ngayon Na	1500	2 weeks ago	Ngayon Na | Cotabato North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=LAJbQ7A5ZZE	Fetched 05/22/2026, 12:18:38 AM GMT+8
85	Mindanao	Don Carlos, Bukidnon	Masaya	1500	2 weeks ago	Masaya | Don Carlos, Bukidnon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=_apmEMNj6uQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
86	Visayas	Southern Leyte	Ilagak Ang Pag-asa Sa Biyayang Darating	1500	2 weeks ago	Ilagak Ang Pag-asa Sa Biyayang Darating | Southern Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nWhiokZYDY0	Fetched 05/22/2026, 12:18:38 AM GMT+8
87	Luzon	Guimba, Nueva Ecija	I Will Walk By Faith	1493	2026-05-01	I Will Walk By Faith | Guimba, Nueva Ecija | INCMV AWARDS 2026	https://www.youtube.com/watch?v=149loEzVRZc	Fetched 05/22/2026, 12:18:38 AM GMT+8
88	Luzon	Alaminos City, Pangasinan	Babalik Nang May Pananabik	1457	2026-05-01	Babalik Nang May Pananabik | Alaminos City, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=a2g-dmr-hQ8	Fetched 05/22/2026, 12:18:38 AM GMT+8
89	Luzon	Bulacan West	Masaya	1404	2026-05-01	Masaya | Bulacan West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=g6mmyjOTzpA	Fetched 05/22/2026, 12:18:38 AM GMT+8
90	Mindanao	Davao Occidental	Stay Strong	1400	2 weeks ago	Stay Strong | Davao Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Ub_EdooR4P8	Fetched 05/22/2026, 12:18:38 AM GMT+8
91	Mindanao	Valencia City, Bukidnon	Masaya	1400	2 weeks ago	Masaya | Valencia City, Bukidnon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=87vnLXXW0u8	Fetched 05/22/2026, 12:18:38 AM GMT+8
92	Luzon	Rizal East	Masaya	1360	2026-05-01	Masaya | Rizal East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=jlZKAshxfKE	Fetched 05/22/2026, 12:18:38 AM GMT+8
93	Luzon	Mamburao, Mindoro Occidental	Masaya	1329	2026-05-01	Masaya | Mamburao, Mindoro Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=tJXtarRMfN8	Fetched 05/22/2026, 12:18:38 AM GMT+8
94	Mindanao	Davao Oriental	Lahat, Posible Sa Ama	1300	2 weeks ago	Lahat, Posible Sa Ama | Davao Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ZGEDxFEiv5E	Fetched 05/22/2026, 12:18:38 AM GMT+8
95	Mindanao	Davao Del Sur	Maglilingkod Pa Rin Ako sa Diyos	1200	2 weeks ago	Maglilingkod Pa Rin Ako sa Diyos | Davao Del Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=AAcbWXSChU8	Fetched 05/22/2026, 12:18:38 AM GMT+8
96	Mindanao	Sultan Kudarat	Maglilingkod Pa Rin Ako Sa Diyos	1200	2 weeks ago	Maglilingkod Pa Rin Ako Sa Diyos | Sultan Kudarat | INCMV AWARDS 2026	https://www.youtube.com/watch?v=EUpHN0FnpP8	Fetched 05/22/2026, 12:18:38 AM GMT+8
97	Luzon	Bongabong, Oriental Mindoro	Anuman Po Ang Mangyari	1107	2026-05-01	Anuman Po Ang Mangyari | Bongabong, Oriental Mindoro | INCMV AWARDS 2026	https://www.youtube.com/watch?v=gYGoE34Of-Y	Fetched 05/22/2026, 12:18:38 AM GMT+8
98	Luzon	Zambales North	Maglilingkod Pa Rin Ako Sa Diyos	1068	2026-05-01	Maglilingkod Pa Rin Ako Sa Diyos | Zambales North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-7gSAx4RKNE	Fetched 05/22/2026, 12:18:38 AM GMT+8
99	Luzon	Aurora	Ipanalangin Mo	1048	2026-05-01	Ipanalangin Mo | Aurora | INCMV AWARDS 2026	https://www.youtube.com/watch?v=IQQHXEPBIz0	Fetched 05/22/2026, 12:18:38 AM GMT+8
100	Visayas	Antique	My Strength And Confidence	918	2 weeks ago	My Strength And Confidence | Antique | INCMV AWARDS 2026	https://www.youtube.com/watch?v=G2q4uanbfJk	Fetched 05/22/2026, 12:18:38 AM GMT+8
101	Luzon	Ilocos Sur	Anuman Po Ang Mangyari	906	2026-05-01	Anuman Po Ang Mangyari | Ilocos Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=EHeiK2eTcQ0	Fetched 05/22/2026, 12:18:38 AM GMT+8
102	Mindanao	Davao Del Norte	Takbuhin	880	2 weeks ago	Takbuhin | Davao Del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=cmFXZ3uEVO4	Fetched 05/22/2026, 12:18:38 AM GMT+8
103	Luzon	Calamba City Laguna	Mag-uumapaw Ang Pag-asa	860	2026-05-01	Mag-uumapaw Ang Pag-asa | Calamba City Laguna | INCMV AWARDS 2026	https://www.youtube.com/watch?v=qGL-dl2E6-s	Fetched 05/22/2026, 12:18:38 AM GMT+8
104	Luzon	Abra	Anuman Po Ang Mangyari	756	2026-05-01	Anuman Po Ang Mangyari | Abra | INCMV AWARDS 2026	https://www.youtube.com/watch?v=_Reye45fgJM	Fetched 05/22/2026, 12:18:38 AM GMT+8
105	Mindanao	Koronadal City, South Cotabato	Anuman Po Ang Mangyari	588	2 weeks ago	Anuman Po Ang Mangyari | Koronadal City, South Cotabato | INCMV AWARDS 2026	https://www.youtube.com/watch?v=XZZukPcJJKo	Fetched 05/22/2026, 12:18:38 AM GMT+8
106	Visayas	San Carlos City, Negros Occidental	Enlightened	564	2 weeks ago	Enlightened | San Carlos City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ffrtWU5cB4A	Fetched 05/22/2026, 12:18:38 AM GMT+8
