Global Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
23	Luzon	Albay	Ama, Kami Ay Sa Iyo Pa Rin	10228	3 weeks ago	Ama, Kami Ay Sa Iyo Pa Rin | Albay | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wAwGtb7R5fs	Fetched 05/24/2026, 3:46:56 PM GMT+8
24	Abroad	Northern Europe	Everything Is Possible	9951	3 weeks ago	Everything Is Possible | Northern Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=z9mFEB5t2k8	Fetched 05/24/2026, 3:46:56 PM GMT+8
25	Luzon	Palawan	Sabi Ni Lola	9277	3 weeks ago	Sabi Ni Lola | Palawan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=rUuEcU77ka4	Fetched 05/24/2026, 3:46:56 PM GMT+8
26	Mindanao	Zamboanga Sibugay	Ama, Kami Ay Sa Iyo Pa Rin	9010	3 weeks ago	Ama, Kami Ay Sa Iyo Pa Rin | Zamboanga Sibugay | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6efoFLYt5yU	Fetched 05/24/2026, 3:46:56 PM GMT+8
27	Luzon	CAMANAVA	Pag-asa Natin Ay Magaganap	8192	3 weeks ago	Pag-asa Natin Ay Magaganap | CAMANAVA | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RAqVHEbPSKs	Fetched 05/24/2026, 3:46:56 PM GMT+8
28	Abroad	Silicon Valley, California	We Are Warriors	8177	3 weeks ago	We Are Warriors | Silicon Valley, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nk-1NrqjNwo	Fetched 05/24/2026, 3:46:56 PM GMT+8
29	Luzon	Zambales South	Ilagak Ang Pag-asa Sa Biyayang Darating	8103	3 weeks ago	Ilagak Ang Pag-asa Sa Biyayang Darating | Zambales South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=webWHRcDiuI	Fetched 05/24/2026, 3:46:56 PM GMT+8
30	Luzon	Iriga City, Camarines Sur	Anuman Po Ang Mangyari	8087	2 weeks ago	Anuman Po Ang Mangyari | Iriga City, Camarines Sur | INCMV AWARD 2026	https://www.youtube.com/watch?v=MrD0pX-mTe8	Fetched 05/24/2026, 3:46:56 PM GMT+8
31	Luzon	Capas, Tarlac	Maglilingkod Pa Rin Ako Sa Diyos	7927	2 weeks ago	Maglilingkod Pa Rin Ako Sa Diyos | Capas, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=k4QEw2OAenQ	Fetched 05/24/2026, 3:46:56 PM GMT+8
32	Luzon	Marikina	Ito Ay Pagsubok Sa Pananampalataya	7890	3 weeks ago	Ito Ay Pagsubok Sa Pananampalataya | Marikina | INCMV AWARDS 2026	https://www.youtube.com/watch?v=YVeH4h6jWJk	Fetched 05/24/2026, 3:46:56 PM GMT+8
33	Luzon	Pampanga East	Galing Sa Iyo	7525	3 weeks ago	Galing Sa Iyo | Pampanga East | INCMV AWARDS2026	https://www.youtube.com/watch?v=O0tKKUbwi_s	Fetched 05/24/2026, 3:46:56 PM GMT+8
34	Abroad	Edmonton	We’re INC For Life	7185	3 weeks ago	We’re INC For Life | Edmonton | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-gMNB9e4rxQ	Fetched 05/24/2026, 3:46:56 PM GMT+8
35	Visayas	Bohol	Kalmadong Magpatuloy	6732	3 weeks ago	Kalmadong Magpatuloy | Bohol | INCMV AWARDS 2026	https://www.youtube.com/watch?v=f_bb1leQUlE	Fetched 05/24/2026, 3:46:56 PM GMT+8
36	Abroad	Britain South	One True God, One Faith	6620	3 weeks ago	One True God, One Faith | Britain South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=UQ8Srh0SDRI	Fetched 05/24/2026, 3:46:56 PM GMT+8
37	Luzon	Sta. Rosa Nueva Ecija	Focus	6240	3 weeks ago	Focus | Sta. Rosa Nueva Ecija | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Ijf01YJHytE	Fetched 05/24/2026, 3:46:56 PM GMT+8
38	Mindanao	Lanao	Anuman Po Ang Mangyari	6073	3 weeks ago	Anuman Po Ang Mangyari | Lanao | INCMV AWARDS 2026	https://www.youtube.com/watch?v=FYLkNK1OqMQ	Fetched 05/24/2026, 3:46:56 PM GMT+8
39	Abroad	Northeast California	Each Day	5932	3 weeks ago	Each Day | Northeast California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=d4RSUvZq0CA	Fetched 05/24/2026, 3:46:56 PM GMT+8
40	Luzon	Bataan	Ang Ama Ang Magbibigay Ng Kalakasan	5911	3 weeks ago	Ang Ama Ang Magbibigay Ng Kalakasan | Bataan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=LiA9aesVeZg	Fetched 05/24/2026, 3:46:56 PM GMT+8
41	Visayas	Tacloban City, Leyte	Sabi Ni Lola	5898	3 weeks ago	Sabi Ni Lola | Tacloban City, Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=kYhrHytdid4	Fetched 05/24/2026, 3:46:56 PM GMT+8
42	Luzon	Bulacan South	Ilapit Mo	5841	3 weeks ago	Ilapit Mo | Bulacan South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=yqLWhxE8Jkw	Fetched 05/24/2026, 3:46:56 PM GMT+8
43	Abroad	Victoria, Australia	More Than We Asked For	5519	3 weeks ago	More Than We Asked For | Victoria, Australia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=oWKjNjnv4pk	Fetched 05/24/2026, 3:46:56 PM GMT+8
44	Luzon	Marinduque	Kalmadong Magpatuloy	5370	3 weeks ago	Kalmadong Magpatuloy | Marinduque | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wmVoL1dJiAs	Fetched 05/24/2026, 3:46:56 PM GMT+8
45	Abroad	Florida and Caribbean	Taorenai le (A House That Stands)	5302	3 weeks ago	Taorenai le (A House That Stands) | Florida and Caribbean | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GalvMTwQqf4	Fetched 05/24/2026, 3:46:56 PM GMT+8
46	Luzon	Caloocan North	Your Friend	5154	3 weeks ago	Your Friend | Caloocan North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hRvfCettUA0	Fetched 05/24/2026, 3:46:56 PM GMT+8
47	Luzon	Makati	Anuman Po Ang Mangyari	5129	3 weeks ago	Anuman Po Ang Mangyari | Makati | INCMV AWARDS 2026	https://www.youtube.com/watch?v=UpOZyisuXJw	Fetched 05/24/2026, 3:46:56 PM GMT+8
48	Luzon	Quezon West	Tutupad Pa Rin	5111	3 weeks ago	Tutupad Pa Rin | Quezon West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vQWa7x9TvAQ	Fetched 05/24/2026, 3:46:56 PM GMT+8
49	Luzon	Calamian	I Have You	5094	3 weeks ago	I Have You | Calamian | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RjtAqkq0xrM	Fetched 05/24/2026, 3:46:56 PM GMT+8
50	Abroad	South Central States	No Matter What	4545	3 weeks ago	No Matter What | South Central States | INCMV AWARDS 2026	https://www.youtube.com/watch?v=9EXxQC4XjNw	Fetched 05/24/2026, 3:46:56 PM GMT+8
51	Luzon	San Jose City, Nueva Ecija	Anuman Po Ang Mangyari	4542	3 weeks ago	Anuman Po Ang Mangyari | San Jose City, Nueva Ecija | INCMV AWARDS 2026	https://www.youtube.com/watch?v=EXtz9KlbOdE	Fetched 05/24/2026, 3:46:56 PM GMT+8
52	Mindanao	Zamboanga del Norte	Maglilingkod Pa Rin Ako Sa Diyos	4440	3 weeks ago	Maglilingkod Pa Rin Ako Sa Diyos | Zamboanga del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hFLIlZXdjW4	Fetched 05/24/2026, 3:46:56 PM GMT+8
53	Abroad	Bay Area California	Deal With This	4352	3 weeks ago	Deal With This | Bay Area California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4xFLBNsNWh4	Fetched 05/24/2026, 3:46:56 PM GMT+8
54	Luzon	San Pablo City, Laguna	Kalmadong Magpatuloy	4317	3 weeks ago	Kalmadong Magpatuloy | San Pablo City, Laguna | INCMV AWARDS 2026	https://www.youtube.com/watch?v=_a9mHDs4xpg	Fetched 05/24/2026, 3:46:56 PM GMT+8
55	Visayas	Carcar City, Cebu	45	4266	3 weeks ago	45 | Carcar City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4qBLETJR2IE	Fetched 05/24/2026, 3:46:56 PM GMT+8
56	Luzon	Rizal	Dapat Kumpletuhin	4068	3 weeks ago	Dapat Kumpletuhin | Rizal | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-uQkDpwOaFo	Fetched 05/24/2026, 3:46:56 PM GMT+8
57	Abroad	Malaysia	In His Hands	4040	2 weeks ago	In His Hands | Malaysia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Kr76Q-eZHj4	Fetched 05/24/2026, 3:46:56 PM GMT+8
58	Mindanao	Agusan del Sur	Ako'y Ihatid Sa Bayang Banal	3839	3 weeks ago	Ako'y Ihatid Sa Bayang Banal | Agusan del Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=sZbkj8hwae0	Fetched 05/24/2026, 3:46:56 PM GMT+8
59	Luzon	Candon City, Ilocos Sur	Kaya Natin 'To	3797	3 weeks ago	Kaya Natin 'To | Candon City, Ilocos Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GjB5zml-Gyo	Fetched 05/24/2026, 3:46:56 PM GMT+8
60	Visayas	Kabankalan City, Negros Occidental	Siya Lagi	3674	3 weeks ago	Siya Lagi | Kabankalan City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=NqNSCeCGbuw	Fetched 05/24/2026, 3:46:56 PM GMT+8
61	Luzon	Cabanatuan City, Nueva Ecija	Anuman Po Ang Mangyari	3595	2 weeks ago	Anuman Po Ang Mangyari | Cabanatuan City, Nueva Ecija | INCMVAWARDS 2026	https://www.youtube.com/watch?v=sfz8rirojvM	Fetched 05/24/2026, 3:46:56 PM GMT+8
62	Mindanao	Cagayan De Oro City, Misamis Oriental	Dili Angay Mabalaka (No Need To Worry)	3460	3 weeks ago	Dili Angay Mabalaka (No Need To Worry) | Cagayan De Oro City, Misamis Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=eWZPjfEH388	Fetched 05/24/2026, 3:46:56 PM GMT+8
63	Luzon	Batangas	Ikaw Ay Biyaya	3443	3 weeks ago	Ikaw Ay Biyaya | Batangas | INCMV AWARDS 2026	https://www.youtube.com/watch?v=KAkCOg9tqFM	Fetched 05/24/2026, 3:46:56 PM GMT+8
64	Luzon	Metro Manila East	45	3409	3 weeks ago	45 | Metro Manila East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=j6rgMyjyE30	Fetched 05/24/2026, 3:46:56 PM GMT+8
65	Luzon	Romblon	Ang Ama Ang Magbibigay Ng Kalakasan	3407	3 weeks ago	Ang Ama Ang Magbibigay Ng Kalakasan | Romblon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=OjhjezaKmDw	Fetched 05/24/2026, 3:46:56 PM GMT+8
66	Luzon	Catanduanes	Anuman Po Ang Mangyari	3405	2 weeks ago	Anuman Po Ang Mangyari | Catanduanes | NCMV AAWARDS 2026	https://www.youtube.com/watch?v=pfRah5NlOx0	Fetched 05/24/2026, 3:46:56 PM GMT+8
67	Luzon	Cagayan East	Masaya	3366	3 weeks ago	Masaya | Cagayan East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=yxmZVF5t4d4	Fetched 05/24/2026, 3:46:56 PM GMT+8
68	Abroad	Italy South	Siya Lagi	3283	3 weeks ago	Siya Lagi | Italy South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=KhDP4H3HcbU	Fetched 05/24/2026, 3:46:56 PM GMT+8
69	Luzon	Batac City, Ilocos Norte	Guide My Heart	3212	3 weeks ago	Guide My Heart | Batac City, Ilocos Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=7CinAlmWFr4	Fetched 05/24/2026, 3:46:56 PM GMT+8
70	Luzon	San Carlos City, Pangasinan	Makiisa	3133	3 weeks ago	Makiisa | San Carlos City, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nFtz4oB4_-c	Fetched 05/24/2026, 3:46:56 PM GMT+8
71	Mindanao	Agusan del Norte	Lahat, Posible Sa Ama	3084	3 weeks ago	Lahat, Posible Sa Ama | Agusan del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=FXsLpyV5Lvo	Fetched 05/24/2026, 3:46:56 PM GMT+8
72	Visayas	Negros Oriental	Still Blessed By God	3079	3 weeks ago	Still Blessed By God | Negros Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t_pcYcHx5Ng	Fetched 05/24/2026, 3:46:56 PM GMT+8
73	Visayas	Iloilo South	Panalangin	3023	3 weeks ago	Panalangin | Iloilo South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HI-yMeRI3bg	Fetched 05/24/2026, 3:46:56 PM GMT+8
74	Luzon	Quezon	Siya Lagi	3016	3 weeks ago	Siya Lagi | Quezon | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GKMQicMsf08	Fetched 05/24/2026, 3:46:56 PM GMT+8
75	Visayas	Leyte	Habang-buhay Namin Kayong Mamahalin	3011	2 weeks ago	Habang-buhay Namin Kayong Mamahalin | Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mogw64StkZA	Fetched 05/24/2026, 3:46:56 PM GMT+8
76	Mindanao	Pagadian City, Zamboanga Del Sur	Anuman Po Ang Mangyari	3000	3 weeks ago	Anuman Po Ang Mangyari | Pagadian City, Zamboanga Del Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=0hku4LqPAJs	Fetched 05/24/2026, 3:46:56 PM GMT+8
77	Abroad	Italy North	Bumangon Ka	2860	3 weeks ago	Bumangon Ka | Italy North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=98opnCAzt74	Fetched 05/24/2026, 3:46:56 PM GMT+8
78	Abroad	Singapore	Miracles	2840	3 weeks ago	Miracles | Singapore | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vHqGFuETYF8	Fetched 05/24/2026, 3:46:56 PM GMT+8
79	Mindanao	Surigao Del Norte	Ama, Kami Ay Sa Iyo Pa Rin	2734	3 weeks ago	Ama, Kami Ay Sa Iyo Pa Rin | Surigao Del Norte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=2uZVcAvOCNo	Fetched 05/24/2026, 3:46:56 PM GMT+8
80	Abroad	New Zealand North	Anuman Po Ang Mangyari	2722	3 weeks ago	Anuman Po Ang Mangyari | New Zealand North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t-DyGa8bUZE	Fetched 05/24/2026, 3:46:56 PM GMT+8
81	Luzon	Quirino	Ikaw Ang Hiling	2710	3 weeks ago	Ikaw Ang Hiling | Quirino | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V5G8p-X1Vlo	Fetched 05/24/2026, 3:46:56 PM GMT+8
82	Luzon	Isabela East	Dinadalisay Lamang Ako	2582	3 weeks ago	Dinadalisay Lamang Ako | Isabela East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=cIblIJVLZ5Q	Fetched 05/24/2026, 3:46:56 PM GMT+8
83	Luzon	Kalinga	Sabi Ni Lola	2577	3 weeks ago	Sabi Ni Lola | Kalinga | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Mpew98j0d3I	Fetched 05/24/2026, 3:46:56 PM GMT+8
84	Luzon	Mountain Province	I'll Never Turn Away	2570	3 weeks ago	I'll Never Turn Away | Mountain Province | INCMV AWARDS 2026	https://www.youtube.com/watch?v=tm7xwFJFT3k	Fetched 05/24/2026, 3:46:56 PM GMT+8
85	Luzon	Central	Masaya	2566	3 weeks ago	Masaya | Central | INCMV AWARDS 2026	https://www.youtube.com/watch?v=22bsW59xpZ8	Fetched 05/24/2026, 3:46:56 PM GMT+8
86	Luzon	Pampanga North	Keeping On With Great Faith	2534	3 weeks ago	Keeping On With Great Faith | Pampanga North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4JPw2KZytQc	Fetched 05/24/2026, 3:46:56 PM GMT+8
87	Luzon	Naga City, Camarines Sur	Bumangon Ka	2499	3 weeks ago	Bumangon Ka | Naga City, Camarines Sur | INCMV AWARDS 2026	https://www.youtube.com/watch?v=uxaPN8HvtIs	Fetched 05/24/2026, 3:46:56 PM GMT+8
88	Abroad	Los Angeles County, California	Redeemed	2417	3 weeks ago	Redeemed | Los Angeles County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hm0uaFLQKUk	Fetched 05/24/2026, 3:46:56 PM GMT+8
89	Luzon	Bulacan East	Matutuhan Ko Ang Iyong Mga Aral	2369	3 weeks ago	Matutuhan Ko Ang Iyong Mga Aral | Bulacan East | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mwAIBnWx5pc	Fetched 05/24/2026, 3:46:56 PM GMT+8
90	Mindanao	Tandag City, Surigao Del Sur	Brave	2320	3 weeks ago	Brave | Tandag City, Surigao Del Sur | INCMV AWADS 2026	https://www.youtube.com/watch?v=7xsoRzhtGuA	Fetched 05/24/2026, 3:46:56 PM GMT+8
91	Luzon	Rosales, Pangasinan	Lahat Ng Gawain Ay Ating Ipagtagumpay	2314	3 weeks ago	Lahat Ng Gawain Ay Ating Ipagtagumpay | Rosales, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zkh4IpwCke8	Fetched 05/24/2026, 3:46:56 PM GMT+8
92	Abroad	Virginia & Carolinas	May I Always Be True	2314	3 weeks ago	May I Always Be True | Virginia & Carolinas | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wPETTnVl2sE	Fetched 05/24/2026, 3:46:56 PM GMT+8
93	Abroad	Great Lakes	My Dearest Child	2293	3 weeks ago	My Dearest Child | Great Lakes | INCMV AWARDS 2026	https://www.youtube.com/watch?v=O1n4cC0zz40	Fetched 05/24/2026, 3:46:56 PM GMT+8
94	Abroad	Orange County California	You Don't Have To Be Alone	2196	3 weeks ago	You Don't Have To Be Alone | Orange County California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=orekVfRKcGs	Fetched 05/24/2026, 3:46:56 PM GMT+8
95	Luzon	Isabela West	Takbuhin	2108	3 weeks ago	Takbuhin | Isabela West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=A3--4PzSA4k	Fetched 05/24/2026, 3:46:56 PM GMT+8
96	Abroad	Western Europe	Panalangin	2091	3 weeks ago	Panalangin | Western Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ZJJbPddaVwk	Fetched 05/24/2026, 3:46:56 PM GMT+8
97	Abroad	Thailand	Never Let Go	2064	3 weeks ago	Never Let Go | Thailand | INCMV AWARDS 2026	https://www.youtube.com/watch?v=rkNkxVR3h4Q	Fetched 05/24/2026, 3:46:56 PM GMT+8
98	Abroad	Nagoya, Japan	People Of God Should Continue To Please Him	2061	3 weeks ago	People Of God Should Continue To Please Him | Nagoya, Japan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=lHTiWdPLZzA	Fetched 05/24/2026, 3:46:56 PM GMT+8
99	Abroad	Central Europe	May You Always Brightly Shine	2056	3 weeks ago	May You Always Brightly Shine | Central Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=QHp75WY5ZBU	Fetched 05/24/2026, 3:46:56 PM GMT+8
100	Abroad	Vietnam	God Will Provide Strength	2006	3 weeks ago	God Will Provide Strength | Vietnam | INCMV AWARDS 2026	https://www.youtube.com/watch?v=F9UrAhQXEhM	Fetched 05/24/2026, 3:46:56 PM GMT+8
101	Abroad	South Korea	I Am Strong	1985	3 weeks ago	I Am Strong | South Korea | INCMV AWARDS 2026	https://www.youtube.com/watch?v=AyMuUnxDq68	Fetched 05/24/2026, 3:46:56 PM GMT+8
102	Abroad	Sabah	His Love Never Ends	1953	3 weeks ago	His Love Never Ends | Sabah | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6srjll1q0yQ	Fetched 05/24/2026, 3:46:56 PM GMT+8
103	Mindanao	Misamis Occidental	Maglilingkod Pa Rin Ako Sa Diyos	1945	3 weeks ago	Maglilingkod Pa Rin Ako Sa Diyos | Misamis Occidental | INCMV AWARDS	https://www.youtube.com/watch?v=9hJaaNK5Vpg	Fetched 05/24/2026, 3:46:56 PM GMT+8
104	Abroad	Mediterranean	Sabi Ni Lola	1910	3 weeks ago	Sabi Ni Lola | Mediterranean | INCMV AWARDS 2026	https://www.youtube.com/watch?v=eBHJ60ydPGs	Fetched 05/24/2026, 3:46:56 PM GMT+8
105	Abroad	Hawaii Pacific	Victors Crown	1871	3 weeks ago	Victors Crown | Hawaii Pacific | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RLx4NLFUfw8	Fetched 05/24/2026, 3:46:56 PM GMT+8
106	Luzon	Nueva Vizcaya	Masaya	1826	3 weeks ago	Masaya | Nueva Vizcaya | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HrBFeo3m84w	Fetched 05/24/2026, 3:46:56 PM GMT+8
107	Luzon	Laoag City	Guide My Heart	1767	3 weeks ago	Guide My Heart | Laoag City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=5aYDiq8GK-Y	Fetched 05/24/2026, 3:46:56 PM GMT+8
108	Abroad	British Columbia	Let's Not Worry	1759	3 weeks ago	Let's Not Worry | British Columbia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=m7NH9hfdC1o	Fetched 05/24/2026, 3:46:56 PM GMT+8
109	Luzon	Metro Manila South	Everything is Possible	1698	3 weeks ago	Everything is Possible | Metro Manila South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=R-nF-iSn_Gc	Fetched 05/24/2026, 3:46:56 PM GMT+8
110	Luzon	Bataan South	Sabi Ni Lola	1694	3 weeks ago	Sabi Ni Lola | Bataan South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=0jr41plvwA4	Fetched 05/24/2026, 3:46:56 PM GMT+8
